Graph,Algorithm,NMI
A_000.npy,SBM,0.9937263164515165
A_000.npy,Spectral_Clustering,0.974869402226903
A_000.npy,Soft_Spectral_Clustering,0.974869402226903
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.0004150367885098792
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,0.9874137756962195
A_000.npy,Soft_Spectral_Clustering,0.9874137756962195
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.0013976015008089963
A_000.npy,SBM,0.8182265064271305
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.5526403740299789
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.7333866212871479
A_000.npy,SBM,0.7308136804980379
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.7531546963965449
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.9512403378539181
A_000.npy,SBM,0.16124603325133263
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.9937263164515165
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,1.0
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,1.0
A_000.npy,SBM,0.9116666992875597
A_000.npy,Spectral_Clustering,0.9110052877708836
A_000.npy,Soft_Spectral_Clustering,0.9110052877708836
A_000.npy,Louvain,0.9599666041514663
A_000.npy,Leiden,0.9599666041514663
A_000.npy,deepLPBM,-0.0040020032902478445
A_000.npy,SBM,0.9523153576600155
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.6915233409942766
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.7798408488063661
A_000.npy,SBM,0.9111973109139575
A_000.npy,Spectral_Clustering,0.9110052877708836
A_000.npy,Soft_Spectral_Clustering,0.9110052877708836
A_000.npy,Louvain,0.9599666041514663
A_000.npy,Leiden,0.9599666041514663
A_000.npy,deepLPBM,-0.0040020032902478445
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.6915233409942766
A_000.npy,SBM,0.38910026995369507
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.7798408488063661
A_000.npy,SBM,0.0
A_000.npy,Spectral_Clustering,0.5851227500542724
A_000.npy,Soft_Spectral_Clustering,0.5704644116849055
A_000.npy,Louvain,0.4979690068091101
A_000.npy,Leiden,0.381759228213491
A_000.npy,deepLPBM,0.008262186725419994
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.007414387337946973
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.6658938791511279
A_000.npy,SBM,0.0
A_000.npy,Spectral_Clustering,0.9007012880566546
A_000.npy,Soft_Spectral_Clustering,0.9007012880566546
A_000.npy,Louvain,0.9024133348142984
A_000.npy,Leiden,0.9013063687390402
A_000.npy,deepLPBM,0.00878569532058266
A_000.npy,SBM,0.7024978607228719
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.710506949368765
A_000.npy,SBM,1.0
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.7571190052759011
A_000.npy,SBM,0.0
A_000.npy,Spectral_Clustering,0.9007012880566546
A_000.npy,Soft_Spectral_Clustering,0.9007012880566546
A_000.npy,Louvain,0.9024133348142984
A_000.npy,Leiden,0.9013063687390402
A_000.npy,deepLPBM,0.00878569532058266
A_000.npy,SBM,0.7198783152586025
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.710506949368765
A_000.npy,SBM,0.594333466395443
A_000.npy,Spectral_Clustering,1.0
A_000.npy,Soft_Spectral_Clustering,1.0
A_000.npy,Louvain,1.0
A_000.npy,Leiden,1.0
A_000.npy,deepLPBM,0.7571190052759011
