hidden,lr,neg_ratio,zeta,seed,ARI,NMI,H,time_sec,elbo
[16],0.01,3,0.6,0,-0.0038871253638189072,0.023268628036462596,0.3440885906599072,17.743205547332764,-17111.923828125
[16],0.01,3,0.6,1,0.013882064780147417,0.03801248347526528,0.34429819252663907,19.533825397491455,-17076.615234375
[16],0.01,3,0.6,2,0.01136779639669262,0.03829842949699522,0.3435808966455184,18.69563126564026,-17108.189453125
[16],0.01,3,1.0,0,1.0,1.0,0.35557573313658414,18.350281953811646,-13439.0830078125
[16],0.01,3,1.0,1,1.0,1.0,0.3565198290999669,18.407161712646484,-13425.966796875
[16],0.01,3,1.0,2,1.0,1.0,0.35529775569416083,17.072262287139893,-13464.029296875
[32],0.01,3,0.6,0,0.015226020749736191,0.03973704164409029,0.3442365840521281,20.34566378593445,-17111.82421875
[32],0.01,3,0.6,1,0.013882064780147417,0.03801248347526528,0.3442497823374433,20.06091856956482,-17077.2578125
[32],0.01,3,0.6,2,-0.0011729349881491125,0.018379008513336254,0.3452511462232862,19.595006227493286,-17110.359375
[32],0.01,3,1.0,0,1.0,1.0,0.35645004285234017,18.774444341659546,-13429.57421875
[32],0.01,3,1.0,1,1.0,1.0,0.35602843070279144,18.574375867843628,-13428.80859375
[32],0.01,3,1.0,2,1.0,1.0,0.35714285672543356,19.46748924255371,-13460.26171875
[64],0.01,3,0.6,0,-0.002768544174531238,0.018094996025385543,0.34410189711797784,18.74683451652527,-17112.89453125
[64],0.01,3,0.6,1,0.012532921623830715,0.035143061655123584,0.343908139593967,18.05486273765564,-17080.359375
[64],0.01,3,0.6,2,0.2624076723771221,0.2810929425079622,0.3192661968072045,19.94833254814148,-17092.400390625
[64],0.01,3,1.0,0,1.0,1.0,0.3539023203805036,18.868403673171997,-13438.390625
[64],0.01,3,1.0,1,1.0,1.0,0.3573024019713176,19.798688411712646,-13422.890625
[64],0.01,3,1.0,2,1.0,1.0,0.3563057989722744,18.522525310516357,-13460.1904296875
