hidden,lr,neg_ratio,zeta,seed,ARI,NMI,H,time_sec,elbo
[32],0.01,3,0.6,0,0.015226020749736191,0.03973704164409029,0.3442365837141722,18.396178483963013,-17111.82421875
[32],0.01,3,0.6,1,0.013882064780147417,0.03801248347526528,0.3442497681087249,18.78584361076355,-17077.2578125
[32],0.01,3,0.6,2,-0.0011729349881491125,0.018379008513336254,0.34525114616547903,18.604349374771118,-17110.359375
[32],0.01,3,1.0,0,1.0,1.0,0.3564500455522672,17.097182989120483,-13429.5732421875
[32],0.01,3,1.0,1,1.0,1.0,0.3560284273943831,17.70878791809082,-13428.80859375
[32],0.01,3,1.0,2,1.0,1.0,0.35714286694641517,17.896363735198975,-13460.26171875
[32],0.005,3,0.6,0,-0.0049695856180255,0.017392034541533884,0.3437343848361445,19.65077042579651,-17111.86328125
[32],0.005,3,0.6,1,0.015226020749736191,0.03973704164409029,0.3442681965234986,18.377881050109863,-17076.193359375
[32],0.005,3,0.6,2,-0.0049695856180255,0.017392034541533884,0.3437269803640684,18.724347829818726,-17108.44140625
[32],0.005,3,1.0,0,1.0,1.0,0.3556557972688712,18.892882585525513,-13436.2470703125
[32],0.005,3,1.0,1,1.0,1.0,0.3564511048475438,18.55339288711548,-13435.369140625
[32],0.005,3,1.0,2,1.0,1.0,0.35654506317262047,18.145020723342896,-13469.6279296875
[32],0.001,3,0.6,0,-0.0049695856180255,0.017392034541533884,0.3437414889923837,31.12570571899414,-17111.908203125
[32],0.001,3,0.6,1,0.015226020749736191,0.03973704164409029,0.3442665710191098,39.018094062805176,-17075.9296875
[32],0.001,3,0.6,2,-0.0049695856180255,0.017392034541533884,0.34373885591302017,40.0203378200531,-17108.4296875
[32],0.001,3,1.0,0,0.7787592118329587,0.9007853707991084,0.41180856910046254,39.760871171951294,-13990.8642578125
[32],0.001,3,1.0,1,0.7798408488063661,0.905746099275519,0.4123709373062217,17.59846258163452,-13913.4296875
[32],0.001,3,1.0,2,0.7749367841790064,0.8934352604287481,0.4158607229730208,19.05913472175598,-13958.98046875
