hidden,lr,neg_ratio,zeta,seed,ARI,NMI,H,time_sec,elbo,AIC,BIC,ICL,Q_tested
[32],0.005,3,1.0,0,0.7749367841790064,0.8934352604287481,0.4360545376449518,19.628074407577515,-14270.130859375,-13687.900390625,-16901.0205446253,-12969.629223793834,4
[32],0.005,3,1.0,0,1.0,1.0,0.35565579784811957,18.353814601898193,-13436.248046875,-12732.0712890625,-17030.14110545251,-11779.664538815752,5
[32],0.005,3,1.0,0,1.0,1.0,0.32683314266449043,18.315788984298706,-13089.896484375,-12848.859375,-18240.224620413486,-11665.489924654554,6
[32],0.005,3,1.0,1,0.7798408488063661,0.905746099275519,0.44102172472092416,18.062885284423828,-14264.6171875,-13776.517578125,-16989.6377321253,-13058.246411293834,4
[32],0.005,3,1.0,1,1.0,1.0,0.3564511056349301,17.75840973854065,-13435.369140625,-12756.470703125,-17054.54051951501,-11804.063952878252,5
[32],0.005,3,1.0,1,1.0,1.0,0.3561292193548372,17.36021590232849,-13858.65234375,-13169.22265625,-18560.587901663486,-11985.853205904554,6
[32],0.005,3,1.0,2,0.7749367841790064,0.8934352604287481,0.44089065386542253,18.98964524269104,-14310.447265625,-13775.236328125,-16988.3564821253,-13056.965161293834,4
[32],0.005,3,1.0,2,1.0,1.0,0.35654480101473807,17.680261373519897,-13469.6279296875,-12763.85546875,-17061.92528514001,-11811.448718503252,5
[32],0.005,3,1.0,2,1.0,1.0,0.3643019449465866,18.941893577575684,-13857.0234375,-13248.546875,-18639.912120413486,-12065.177424654554,6
[32],0.005,3,1.0,3,0.7798408488063661,0.905746099275519,0.44341129573860355,18.73365545272827,-14281.2197265625,-13763.779296875,-16976.8994508753,-13045.508130043834,4
[32],0.005,3,1.0,3,1.0,1.0,0.3554642406507405,17.226787567138672,-13518.9052734375,-12818.1796875,-17116.24950389001,-11865.772937253252,5
[32],0.005,3,1.0,3,0.9950049148428254,0.9939453692560909,0.3686996944143927,18.589928150177002,-13948.787109375,-13244.421875,-18635.787120413486,-12061.052424654554,6
[32],0.005,3,1.0,4,0.7673530024855381,0.8913471382016404,0.43980513034502283,18.919873476028442,-14249.640625,-13742.517578125,-16955.6377321253,-13024.246411293834,4
[32],0.005,3,1.0,4,1.0,1.0,0.3595694236975061,19.171318769454956,-13518.205078125,-12840.2314453125,-17138.30126170251,-11887.824695065752,5
[32],0.005,3,1.0,4,1.0,1.0,0.33377210660859014,17.2079017162323,-13146.4375,-12893.876953125,-18285.242198538486,-11710.507502779554,6
[32],0.005,3,1.0,5,0.7749367841790064,0.8934352604287481,0.4443490118698435,17.636316776275635,-14283.86328125,-13785.8984375,-16999.0185915003,-13067.627270668834,4
[32],0.005,3,1.0,5,1.0,1.0,0.3615813943332503,18.40822958946228,-13500.494140625,-12814.61328125,-17112.68309764001,-11862.206531003252,5
[32],0.005,3,1.0,5,0.9849137366380214,0.9818109538494119,0.36923306482650314,17.958430290222168,-13882.7177734375,-13269.3515625,-18660.716807913486,-12085.982112154554,6
[32],0.005,3,1.0,6,0.7798408488063661,0.905746099275519,0.4366089473994815,18.933812856674194,-14090.1533203125,-13518.4384765625,-16731.5586305628,-12800.167309731334,4
[32],0.005,3,1.0,6,1.0,1.0,0.3618661419446301,17.71777653694153,-13356.962890625,-12664.482421875,-16962.55223826501,-11712.075671628252,5
[32],0.005,3,1.0,6,0.9950049148428254,0.9939453692560909,0.36583047644287675,18.94459843635559,-13718.197265625,-13077.720703125,-18469.085948538486,-11894.351252779554,6
[32],0.005,3,1.0,7,0.7798408488063661,0.905746099275519,0.4392670131442049,17.133415460586548,-14121.244140625,-13608.58203125,-16821.7021852503,-12890.310864418834,4
[32],0.005,3,1.0,7,1.0,1.0,0.36053422312835465,17.320061445236206,-13419.3359375,-12717.44921875,-17015.51903514001,-11765.042468503252,5
[32],0.005,3,1.0,7,1.0,1.0,0.32927066032091273,16.832513332366943,-13012.5830078125,-12762.7216796875,-18154.086925100986,-11579.352229342054,6
[32],0.005,3,1.0,8,0.7798408488063661,0.905746099275519,0.4348356393329881,16.28274941444397,-14090.6767578125,-13475.322265625,-16688.4424196253,-12757.051098793834,4
[32],0.005,3,1.0,8,1.0,1.0,0.35345276379032303,15.508622169494629,-13195.3564453125,-12452.666015625,-16750.73583201501,-11500.259265378252,5
[32],0.005,3,1.0,8,0.9899389874338357,0.9877918163035988,0.32353899069134023,15.94695496559143,-12871.072265625,-12550.6337890625,-17941.999034475986,-11367.264338717054,6
[32],0.005,3,1.0,9,0.7798408488063661,0.905746099275519,0.44524784358575653,26.7113938331604,-14278.1416015625,-13731.751953125,-16944.8721071253,-13013.480786293834,4
[32],0.005,3,1.0,9,1.0,1.0,0.35690327902442714,34.006569385528564,-13376.7197265625,-12670.9267578125,-16968.99657420251,-11718.520007565752,5
[32],0.005,3,1.0,9,0.9950049148428254,0.9939453692560909,0.3634872817526169,33.33427429199219,-13775.0634765625,-13102.6298828125,-18493.995128225986,-11919.260432467054,6
[32],0.005,3,1.0,10,0.7798408488063661,0.905746099275519,0.4406736922352001,34.321667432785034,-14190.54296875,-13638.25,-16851.3701540003,-12919.978833168834,4
[32],0.005,3,1.0,10,0.7798408488063661,0.905746099275519,0.42364185939062804,33.98755383491516,-13967.0380859375,-13926.99609375,-18225.06591014001,-12974.589343503252,5
[32],0.005,3,1.0,10,0.9950049148428254,0.9939453692560909,0.36483849978977717,33.68688368797302,-13800.8466796875,-13122.13671875,-18513.501964163486,-11938.767268404554,6
[32],0.005,3,1.0,11,0.7798408488063661,0.905746099275519,0.4381492031628983,34.73230290412903,-14197.8330078125,-13612.57421875,-16825.6943727503,-12894.303051918834,4
[32],0.005,3,1.0,11,1.0,1.0,0.3614946501277466,30.29951786994934,-13296.3564453125,-12641.8671875,-16939.93700389001,-11689.460437253252,5
[32],0.005,3,1.0,11,1.0,1.0,0.31943270675145924,37.436856746673584,-12969.7998046875,-12685.3974609375,-18076.762706350986,-11502.028010592054,6
[32],0.005,3,1.0,12,0.7798408488063661,0.905746099275519,0.4296849614247697,35.23835349082947,-14081.001953125,-13479.0751953125,-16692.1953493128,-12760.804028481334,4
[32],0.005,3,1.0,12,1.0,1.0,0.3564948428620628,25.566254377365112,-13312.9990234375,-12613.0234375,-16911.09325389001,-11660.616687253252,5
