hidden,lr,neg_ratio,zeta,seed,ARI,NMI,H,time_sec,elbo,AIC,BIC,ICL,Q_tested,N
[32],0.005,3,0.7,0,0.23783669295606566,0.2593022966009763,0.3717758924285552,33.8227162361145,-17136.60546875,-17889.310546875,-22187.38036326501,-16936.903796628252,5,250
[32],0.005,3,0.7,1,0.17636706430375537,0.19954518011879796,0.37630095755866333,17.07300114631653,-17000.154296875,-17871.0078125,-22169.07762889001,-16918.601062253252,5,250
[32],0.005,3,0.7,2,0.0015876588865460968,0.020513166774547762,0.3967204093405524,17.877238273620605,-17129.521484375,-18160.326171875,-22458.39598826501,-17207.919421628252,5,250
[32],0.005,3,0.7,3,0.6859336753871024,0.7242235726624973,0.305164843022147,17.112419366836548,-16683.23046875,-17049.787109375,-21347.85692576501,-16097.380359128252,5,250
[32],0.005,3,0.7,4,0.4192727350455585,0.4755561352323673,0.34333295271756864,17.183688640594482,-17002.66015625,-17583.919921875,-21881.98973826501,-16631.513171628252,5,250
[32],0.005,3,0.7,5,0.6898588892085289,0.7074463056304326,0.30632609076719586,18.91480255126953,-16828.650390625,-17151.2470703125,-21449.31688670251,-16198.840320065752,5,250
[32],0.005,3,0.7,6,0.1622556107374112,0.18756705944584412,0.3739519770103603,16.85164523124695,-17002.787109375,-17779.388671875,-22077.45848826501,-16826.981921628252,5,250
[32],0.005,3,0.7,7,0.629408719652775,0.6501377801424836,0.30802887652173966,18.749166250228882,-16680.857421875,-17072.26171875,-21370.33153514001,-16119.854968503252,5,250
[32],0.005,3,0.7,8,-0.0035451190823669954,0.017573161078936354,0.39780779537739663,17.689214944839478,-17157.03125,-18188.30859375,-22486.37841014001,-17235.901843503252,5,250
[32],0.005,3,0.7,9,0.007478349754842521,0.02663191146505055,0.39709440668431467,18.53612232208252,-17132.85546875,-18173.7265625,-22471.79637889001,-17221.319812253252,5,250
[32],0.005,3,0.7,10,0.16064619092992946,0.18814400652724092,0.37675341192486844,17.710649490356445,-16991.857421875,-17854.052734375,-22152.12255076501,-16901.645984128252,5,250
[32],0.005,3,0.7,11,0.16665655057750065,0.19134863174919492,0.37629787163406514,16.29412603378296,-17073.822265625,-17905.708984375,-22203.77880076501,-16953.302234128252,5,250
[32],0.005,3,0.7,12,-0.002185670805747656,0.01711045607584413,0.39830639518034827,18.234843015670776,-17183.330078125,-18215.46875,-22513.53856639001,-17263.061999753252,5,250
[32],0.005,3,0.7,13,-0.005658167820329982,0.014111806045788563,0.39712314889467426,18.097888708114624,-17140.107421875,-18169.75,-22467.81981639001,-17217.343249753252,5,250
[32],0.005,3,0.7,14,0.14650068814264813,0.16666213478089018,0.3797540293934863,18.173964500427246,-17042.03125,-17931.18359375,-22229.25341014001,-16978.776843503252,5,250
