hidden,lr,neg_ratio,Q_true,Q_selected,ELBO,AIC,BIC,ICL,ARI,NMI,eta_H,Pi_H,time_sec
[16],0.005,1,5,3,-103.88871765136719,-374.5416564941406,-521.2541136133333,-320.76769458740665,0.015012197410395946,0.16290720929960045,8.908966926295435,,86.0084638595581
[16],0.005,3,5,3,-168.0380401611328,-279.33518981933594,-426.0476469385286,-225.561227912602,0.0004152823920265781,0.1188208966895439,8.971363839810317,,83.69683814048767
[16],0.005,5,5,3,-199.1693115234375,-271.65855407714844,-418.3710111963411,-217.8845921704145,0.0004152823920265781,0.1188208966895439,8.970878888157907,,83.17771124839783
[16],0.01,1,5,3,-104.38345336914062,-375.0587158203125,-521.7711729395052,-321.2847539135785,0.04766372677800713,0.18332023868665495,8.93861428015639,,82.99662637710571
[16],0.01,3,5,3,-168.948974609375,-279.163818359375,-425.87627547856766,-225.38985645264106,0.013846467114640602,0.12616572222461808,8.974194234035346,,85.29248261451721
[16],0.01,5,5,3,-200.0169677734375,-271.3797607421875,-418.09221786138016,-217.60579883545356,0.013846467114640602,0.12616572222461808,8.972578291756792,,85.24732398986816
[32],0.005,1,5,3,-103.91329956054688,-375.2498474121094,-521.962304531302,-321.4758855053754,0.06349206349206349,0.21376988443258177,8.947849423357642,,88.66388821601868
[32],0.005,3,5,3,-167.7427215576172,-279.4458923339844,-426.15834945317704,-225.67193042725043,0.0004152823920265781,0.1188208966895439,8.969699145912543,,86.91525459289551
[32],0.005,5,5,3,-199.16758728027344,-271.5491943359375,-418.26165145513016,-217.77523242920356,0.0004152823920265781,0.1188208966895439,8.969247075311126,,85.50190377235413
[32],0.01,1,5,3,-104.30683135986328,-372.65020751953125,-519.3626646387239,-318.8762456127973,-0.03377110694183865,0.06534953134809622,8.990601646997073,,84.56385612487793
[32],0.01,3,5,3,-168.3159942626953,-279.23887634277344,-425.9513334619661,-225.4649144360395,0.012458471760797342,0.1250721412023751,8.97623019963447,,85.25728964805603
[32],0.01,5,5,3,-199.67552185058594,-271.2956848144531,-418.0081419336458,-217.52172290771918,0.012458471760797342,0.1250721412023751,8.974403328155521,,87.25593757629395
[64],0.005,1,5,3,-103.95340728759766,-374.68292236328125,-521.3953794824739,-320.9089604565473,0.04766372677800713,0.18332023868665498,8.952500643334998,,85.71985125541687
[64],0.005,3,5,3,-168.0135040283203,-279.2389221191406,-425.9513792383333,-225.46496021240668,0.012458471760797342,0.1250721412023751,8.97205842928391,,86.33350014686584
[64],0.005,5,5,3,-199.35462951660156,-271.5066375732422,-418.21909469243485,-217.73267566650824,-0.03377110694183865,0.06534953134809622,8.97066784714515,,85.8042721748352
[64],0.01,1,5,3,-104.32814025878906,-372.17779541015625,-518.8902525293489,-318.4038335034223,-0.059800664451827246,0.041818591880555214,8.993689373982093,,87.16619801521301
[64],0.01,3,5,3,-168.30380249023438,-279.4360046386719,-426.14846175786454,-225.66204273193793,-0.059800664451827246,0.041818591880555214,8.980164014343284,,87.39780473709106
[64],0.01,5,5,3,-199.6405029296875,-271.6249694824219,-418.33742660161454,-217.85100757568793,-0.059800664451827246,0.041818591880555214,8.976980659924038,,87.33490061759949
