node_id,true_label,pred_label_raw,pred_label_aligned
0,0,1,1
1,0,2,0
2,0,1,1
3,0,0,3
4,0,1,1
5,0,1,1
6,0,1,1
7,0,2,0
8,0,2,0
9,0,1,1
10,0,2,0
11,0,2,0
12,1,1,1
13,1,2,0
14,1,1,1
15,1,1,1
16,1,2,0
17,1,1,1
18,1,0,3
19,1,2,0
20,1,1,1
21,1,1,1
22,1,0,3
23,1,2,0
24,2,0,3
25,2,1,1
26,2,2,0
27,2,0,3
28,2,1,1
29,2,1,1
30,2,0,3
31,2,2,0
32,2,0,3
33,2,2,0
34,2,0,3
35,2,0,3
36,3,0,3
37,3,0,3
38,3,2,0
39,3,0,3
40,3,1,1
41,3,0,3
42,3,0,3
43,3,1,1
44,3,0,3
45,3,1,1
46,3,0,3
47,3,0,3
48,4,1,1
49,4,1,1
50,4,0,3
51,4,2,0
52,4,0,3
53,4,0,3
54,4,0,3
55,4,0,3
56,4,1,1
57,4,0,3
58,4,2,0
59,4,1,1
